id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Pulse,Byte Forge,electronic,aggressive,0.88,128,0.42,0.85,0.08
12,Moonlight Suite,Virtuoso AI,classical,calm,0.22,65,0.35,0.25,0.95
13,Velvet Hours,Noir Jazz Club,jazz,romantic,0.45,95,0.68,0.48,0.72
14,Purple Skyline,Harbor Tides,indie,dreamy,0.55,104,0.72,0.58,0.42
15,Old Tape Hiss,Memory Lane,rock,nostalgic,0.62,98,0.55,0.55,0.35
16,Basement Fog,LoRoom,lofi,dark,0.33,70,0.38,0.50,0.88
17,Crystal Lattice,Glass Forms,electronic,dreamy,0.68,118,0.62,0.72,0.15
18,Winter Cathedral,Chamber Echo,classical,dark,0.25,72,0.28,0.22,0.94
